,word,index,frequency
383,tray,383,-6.196368307654723
384,he,384,-6.197098501188444
385,scissors,385,-6.226000105261093
386,made,386,-6.226000105261093
387,store,387,-6.231277162361938
388,zoo,388,-6.235063611414441
389,bottle,389,-6.237342381865028
390,batter,390,-6.238864452174097
391,gray,391,-6.240388842713193
392,enclosure,392,-6.240388842713193
393,number,393,-6.2472775037083785
394,screen,394,-6.251125142160449
395,bag,395,-6.259642421679329
396,donuts,396,-6.274527146155753
397,surrounded,397,-6.27689775177009
398,bridge,398,-6.278481283375735
399,sleeping,399,-6.279273990511973
400,play,400,-6.283246979448748
401,dark,401,-6.284043474911009
402,him,402,-6.285638371580825
403,knife,403,-6.287235816009982
404,half,404,-6.288035496180546
405,microwave,405,-6.290438380796857
406,kids,406,-6.293651234966182
407,row,407,-6.297681873232351
408,jacket,408,-6.298489954084404
409,look,409,-6.299298688459256
410,carrots,410,-6.299298688459256
411,tub,411,-6.305792217769804
412,sand,412,-6.3066068817659815
413,way,413,-6.310690186745353
414,silver,414,-6.318907159847633
415,decorated,415,-6.3197325829238
416,lake,416,-6.3205586878861055
417,showing,417,-6.321385475862099
418,pile,418,-6.326360610502213
419,between,419,-6.329691171449378
420,buses,420,-6.33136062091892
421,walks,421,-6.334707904378977
422,meal,422,-6.337225740371318
423,forest,423,-6.337225740371318
424,toy,424,-6.339749931867225
425,adult,425,-6.342280511032943
426,few,426,-6.3465124259395225
427,lined,427,-6.3507623260888515
428,skiers,428,-6.3507623260888515
429,colored,429,-6.354175298685091
430,cabinets,430,-6.361897344779001
431,older,431,-6.364484668343952
432,oranges,432,-6.3662132772445705
433,boys,433,-6.375774410488553
434,furniture,434,-6.375774410488553
435,purple,435,-6.378397936260937
436,swing,436,-6.387193067713765
437,mouse,437,-6.388961414770506
438,past,438,-6.39517537173845
439,girls,439,-6.397850362187752
440,kid,440,-6.406819032170514
441,cloudy,441,-6.409525393768256
442,grey,442,-6.4122390996398515
443,photograph,443,-6.417688704407418
444,bread,444,-6.4195118589689315
445,seat,445,-6.421338343494966
446,``,446,-6.427757439355684
447,throwing,447,-6.428677825983012
448,outdoor,448,-6.430521144477302
449,displayed,449,-6.439789051408082
450,waves,450,-6.4416529848461455
451,onto,451,-6.450083948134944
452,crossing,452,-6.451025124675009
453,chocolate,453,-6.451025124675009
454,can,454,-6.461436955599941
455,making,455,-6.462388883325325
456,coming,456,-6.464295461595906
457,attached,457,-6.465250115606356
458,have,458,-6.465250115606356
459,drinking,459,-6.466205681852024
460,leaning,460,-6.476777620777423
461,drink,461,-6.482591590642842
462,hair,462,-6.484537116548335
463,monitor,463,-6.485511300746179
464,cats,464,-6.488439560525267
465,dining,465,-6.493339129366426
466,scene,466,-6.494321930428333
467,fruits,467,-6.494321930428333
468,hitting,468,-6.4982628222282095
469,rocks,469,-6.501228716641588
470,seen,470,-6.502219306123283
471,apples,471,-6.505196975817208
472,lush,472,-6.508183538514958
473,fork,473,-6.509181044832083
474,shelf,474,-6.5161915893183
475,female,475,-6.51820366243172
476,salad,476,-6.5192112191920195
477,apple,477,-6.52223999485418
478,meter,478,-6.52223999485418
479,watch,479,-6.5344476744341105
480,birthday,480,-6.5364968554790455
481,office,481,-6.541638254979464
482,market,482,-6.542669714586127
483,lit,483,-6.548880914678767
484,no,484,-6.550959917506601
485,resting,485,-6.552001042015011
486,stone,486,-6.553043251593454
487,towards,487,-6.5656352332908146
488,pan,488,-6.5656352332908146
489,painted,489,-6.566691757425014
490,walls,490,-6.574118847268631
491,cross,491,-6.574118847268631
492,fries,492,-6.577318849999301
493,leaves,493,-6.583749740329591
494,rain,494,-6.586980760911038
495,sunny,495,-6.590222254835208
496,teeth,496,-6.591305091974041
497,snowboarder,497,-6.592389102920299
498,plastic,498,-6.597826854220427
499,catch,499,-6.598917961802762
500,flower,500,-6.600010261201371
501,bright,501,-6.601103755022743
502,clean,502,-6.607689947875599
503,been,503,-6.609895020433914
504,working,504,-6.610999382776967
505,public,505,-6.610999382776967
506,blanket,506,-6.612104966084717
507,setting,507,-6.614319806414269
508,dish,508,-6.622110608202037
509,sun,509,-6.624347745600394
510,beautiful,510,-6.624347745600394
511,windows,511,-6.625468193896884
512,books,512,-6.636742270470101
513,tables,513,-6.637876700540714
514,mountains,514,-6.63901241900464
515,surfboards,515,-6.640149428791716
516,moving,516,-6.640149428791716
517,police,517,-6.648144902567914
518,bikes,518,-6.649292349624391
519,pictures,519,-6.649292349624391
520,trying,520,-6.65389534969635
521,rail,521,-6.65389534969635
522,uniform,522,-6.65389534969635
523,donut,523,-6.65389534969635
524,edge,524,-6.660839822049162
525,stopped,525,-6.6620019372293395
526,clear,526,-6.669003132688323
527,bath,527,-6.6701747789852135
528,underneath,528,-6.672522197903518
529,helmet,529,-6.677233631824839
530,ride,530,-6.678414966870669
531,platform,531,-6.686723620009687
532,rock,532,-6.686723620009687
533,slices,533,-6.689110255987417
534,skateboarding,534,-6.691502601626038
535,having,535,-6.692700924118146
536,yard,536,-6.699921172091633
537,statue,537,-6.703550940142211
538,cellphone,538,-6.704763796567422
539,dress,539,-6.705978125799824
540,base,540,-6.708411217024464
541,eat,541,-6.708411217024464
542,time,542,-6.712071989874145
543,nice,543,-6.71329523161689
544,controller,544,-6.716973960474352
545,shot,545,-6.731825718610379
546,branch,546,-6.736825729027084
547,pitch,547,-6.743111104842045
548,vases,548,-6.746901381015826
549,sandy,549,-6.748168005631019
550,path,550,-6.753250608694485
551,computers,551,-6.753250608694485
552,or,552,-6.75580163048609
553,passing,553,-6.75580163048609
554,motor,554,-6.75580163048609
555,placed,555,-6.760923280606145
556,sauce,556,-6.763493976109245
557,pieces,557,-6.764781806293675
558,'',558,-6.7660712971235455
559,family,559,-6.76865527788947
560,country,560,-6.76865527788947
561,shore,561,-6.76865527788947
562,doughnut,562,-6.769949776452117
563,vehicle,563,-6.771245952913564
564,boards,564,-6.773843356971248
565,cart,565,-6.773843356971248
566,brushing,566,-6.775144593329221
567,case,567,-6.779058492650357
568,eaten,568,-6.779058492650357
569,town,569,-6.782987770790246
570,perched,570,-6.785615893196516
571,dinner,571,-6.793541958468937
572,tarmac,572,-6.793541958468937
573,cooking,573,-6.794869098676999
574,surface,574,-6.797528674712758
575,catcher,575,-6.797528674712758
576,just,576,-6.8001953429596735
577,wet,577,-6.8001953429596735
578,nintendo,578,-6.8082382817591345
579,basket,579,-6.812284140278678
580,types,580,-6.816346434287556
581,plant,581,-6.816346434287556
582,doughnuts,582,-6.827260594468235
583,pizzas,583,-6.828633278280208
584,hotel,584,-6.830007848943373
585,enjoying,585,-6.831384311652096
586,single,586,-6.834142934091176
587,trains,587,-6.834142934091176
588,toppings,588,-6.834142934091176
589,watches,589,-6.835525104318128
590,reading,590,-6.835525104318128
591,laptops,591,-6.8396831144667924
592,lap,592,-6.841072968755846
593,others,593,-6.843858485877272
594,guys,594,-6.843858485877272
595,modern,595,-6.845254159516248
596,they,596,-6.846651783782885
597,variety,597,-6.850856415064918
598,tiled,598,-6.853669356441532
599,lamp,599,-6.853669356441532
600,engine,600,-6.853669356441532
601,trucks,601,-6.860736523664624
602,multiple,602,-6.865000922451081
603,performing,603,-6.865000922451081
604,pitcher,604,-6.866426439442304
605,rice,605,-6.866426439442304
606,pretty,606,-6.8692835842430835
607,jump,607,-6.8692835842430835
608,gathered,608,-6.8721489157163695
609,tricks,609,-6.8721489157163695
610,shows,610,-6.873584666142474
611,bowls,611,-6.875022480912101
612,mounted,612,-6.882242728885588
613,appliances,613,-6.883693055463235
614,benches,614,-6.886600034254544
615,woods,615,-6.888056698751008
616,cute,616,-6.888056698751008
617,passengers,617,-6.89390466863343
618,phones,618,-6.895372020327381
619,pen,619,-6.9027412504339285
620,five,620,-6.9042216356043635
621,shop,621,-6.905704215564587
622,bathtub,622,-6.905704215564587
623,feeding,623,-6.907188996832165
624,beer,624,-6.910165189505211
625,fresh,625,-6.91165661409188
626,gear,626,-6.917644655936504
627,pasture,627,-6.917644655936504
628,post,628,-6.922159336291031
629,plants,629,-6.923668770539885
630,candles,630,-6.923668770539885
631,place,631,-6.926694491456422
632,dirty,632,-6.9297293951515755
633,cattle,633,-6.937357197200463
634,railroad,634,-6.937357197200463
635,flies,635,-6.940424684268324
636,curb,636,-6.941961963587211
637,distance,637,-6.95123560037254
638,fenced,638,-6.960596043132103
639,graffiti,639,-6.960596043132103
640,end,640,-6.963735763136771
641,drinks,641,-6.966885372039666
642,carriage,642,-6.968463904332717
643,brush,643,-6.974803069776453
644,vintage,644,-6.977987785843972
645,fly,645,-6.979583955376794
646,match,646,-6.979583955376794
647,poles,647,-6.981182676740492
648,toothbrush,648,-6.984387807689441
649,containing,649,-6.987603244543415
650,after,650,-6.987603244543415
651,chicken,651,-6.990829053792297
652,take,652,-6.9924458690192015
653,bags,653,-6.994065302571505
654,concrete,654,-6.995687362943373
655,sandwiches,655,-6.995687362943373
656,school,656,-6.99893939832975
657,below,657,-7.002202043964568
658,crowded,658,-7.010405535417394
659,left,659,-7.012054340407579
660,shoes,660,-7.015360128542078
661,planes,661,-7.018676881168071
662,bar,662,-7.020339391941686
663,fireplace,663,-7.0253435725262605
664,pulled,664,-7.0270172130842905
665,bottles,665,-7.0303729209312635
666,center,666,-7.0320550071142485
667,tile,667,-7.037118309070795
668,dock,668,-7.037118309070795
669,sliced,669,-7.037118309070795
670,steel,670,-7.038811789577128
671,sofa,671,-7.040508142825306
672,alone,672,-7.042207378578265
673,fridge,673,-7.0490333436486665
674,huge,674,-7.0490333436486665
675,right,675,-7.054183569624982
676,beds,676,-7.054183569624982
677,boxes,677,-7.055906222936427
678,skateboards,678,-7.059360457804516
679,well,679,-7.062826665781001
680,pot,680,-7.062826665781001
681,she,681,-7.062826665781001
682,takes,682,-7.064564285679543
683,striped,683,-7.064564285679543
684,neck,684,-7.066304930157326
685,trunk,685,-7.066304930157326
686,pillows,686,-7.0732979656482975
687,served,687,-7.07857502274914
688,nearby,688,-7.0821085953304515
689,control,689,-7.085654698337203
690,catching,690,-7.085654698337203
691,flat,691,-7.087432476583201
692,equipment,692,-7.089213420954197
693,bushes,693,-7.092784853321794
694,sinks,694,-7.094575364095581
695,reaching,695,-7.098166032226311
696,church,696,-7.098166032226311
697,clothes,697,-7.099966212730459
698,feet,698,-7.099966212730459
699,plays,699,-7.099966212730459
700,floating,700,-7.101769639729609
701,rack,701,-7.103576324954558
702,tomatoes,702,-7.103576324954558
703,suitcases,703,-7.103576324954558
704,dry,704,-7.107199517323979
705,giant,705,-7.110835884967363
706,atop,706,-7.116315350731988
707,putting,707,-7.118148531813649
708,foods,708,-7.118148531813649
709,pose,709,-7.11998507962095
710,commercial,710,-7.11998507962095
711,airplanes,711,-7.11998507962095
712,container,712,-7.121825006542958
713,polar,713,-7.125515047630412
714,poses,714,-7.129218755567896
715,mother,715,-7.132936231968028
716,bicycles,716,-7.134800165406091
717,professional,717,-7.134800165406091
718,including,718,-7.136667579580886
719,shaped,719,-7.138538487516698
720,away,720,-7.138538487516698
721,towel,721,-7.142290837135249
722,work,722,-7.142290837135249
723,vehicles,723,-7.147945894618594
724,space,724,-7.149838042770632
725,serving,725,-7.149838042770632
726,not,726,-7.149838042770632
727,lone,727,-7.151733777935531
728,run,728,-7.151733777935531
729,prepares,729,-7.151733777935531
730,staring,730,-7.155536063885268
731,potatoes,731,-7.155536063885268
732,dessert,732,-7.155536063885268
733,taken,733,-7.15744264215585
734,smiles,734,-7.1593528624119696
735,subway,735,-7.1593528624119696
736,hay,736,-7.1593528624119696
737,both,737,-7.161266738594254
738,wild,738,-7.161266738594254
739,serve,739,-7.167030443311004
740,cream,740,-7.167030443311004
741,surfers,741,-7.170891451968464
742,dishes,742,-7.17282756099533
743,sticking,743,-7.17282756099533
744,style,744,-7.174767425813156
745,cabinet,745,-7.178658481306124
746,legs,746,-7.178658481306124
747,arm,747,-7.186486309926369
748,breakfast,748,-7.19042332288571
749,cement,749,-7.192397657189428
750,christmas,750,-7.192397657189428
751,trail,751,-7.192397657189428
752,lays,752,-7.1983441563771535
753,asian,753,-7.200334206785163
754,show,754,-7.202328225392028
755,wire,755,-7.208334249452239
756,outdoors,756,-7.210344300380264
757,highway,757,-7.21639880928897
758,cooked,758,-7.218425152434202
759,couches,759,-7.220455609984585
760,games,760,-7.222490198682372
761,swings,761,-7.222490198682372
762,painting,762,-7.226571837002021
763,square,763,-7.228618920623745
764,shorts,764,-7.228618920623745
765,backpack,765,-7.230670203394302
766,stacked,766,-7.230670203394302
767,where,767,-7.230670203394302
768,spoon,768,-7.2347854355394094
769,pool,769,-7.23891767282432
770,reflection,770,-7.245148222574956
771,cluttered,771,-7.247233729065977
772,throw,772,-7.249323593985437
773,military,773,-7.251417835588551
774,round,774,-7.253516472245472
775,boarding,775,-7.253516472245472
776,french,776,-7.259838937984959
777,business,777,-7.259838937984959
778,soup,778,-7.264076232460475
779,drives,779,-7.268331558030614
780,toward,780,-7.270466030559247
781,docked,781,-7.270466030559247
782,blender,782,-7.272605068807996
783,assortment,783,-7.28120727239066
784,controllers,784,-7.283369435395153
785,get,785,-7.285536283480244
786,team,786,-7.285536283480244
787,hillside,787,-7.285536283480244
788,same,788,-7.287707836993752
789,lawn,789,-7.2898841164163475
790,sunglasses,790,-7.2942509355826886
791,swimming,791,-7.2942509355826886
792,go,792,-7.300837128435544
793,clocks,793,-7.305252146644662
794,adults,794,-7.307466986974214
795,garden,795,-7.307466986974214
796,van,796,-7.309686743712527
797,umpire,797,-7.311911438734638
798,wedding,798,-7.318615374456829
799,stairs,799,-7.320860044310653
800,mid,800,-7.320860044310653
801,wooded,801,-7.323109764044668
802,hotdog,802,-7.323109764044668
803,jumps,803,-7.325364556431758
804,among,804,-7.325364556431758
805,eats,805,-7.325364556431758
806,bun,806,-7.325364556431758
807,stall,807,-7.327624444399195
808,drawn,808,-7.327624444399195
809,seated,809,-7.329889451030047
810,ledge,810,-7.332159599564585
811,low,811,-7.336715416100446
812,rackets,812,-7.341292083127859
813,skies,813,-7.343588295388209
814,toddler,814,-7.350508738232783
815,shelves,815,-7.352826236373145
816,flag,816,-7.352826236373145
817,rocky,817,-7.355149117789285
818,restroom,818,-7.357477407548876
819,which,819,-7.359811130895096
820,assorted,820,-7.362150313248268
821,desktop,821,-7.362150313248268
822,rug,822,-7.366845157552476
823,event,823,-7.366845157552476
824,onions,824,-7.366845157552476
825,trash,825,-7.369200871244935
826,snowboarding,826,-7.369200871244935
827,gate,827,-7.371562147430614
828,does,828,-7.376301492794511
829,fish,829,-7.376301492794511
830,things,830,-7.378679615199479
831,pillow,831,-7.378679615199479
832,landing,832,-7.381063406554755
833,eyes,833,-7.381063406554755
834,stainless,834,-7.385848104678091
835,cups,835,-7.38824906621563
836,land,836,-7.390655806246194
837,clouds,837,-7.390655806246194
838,broken,838,-7.393068352651579
839,glove,839,-7.393068352651579
840,facing,840,-7.39548673351586
841,kitten,841,-7.39548673351586
842,flock,842,-7.400341111980659
843,foot,843,-7.40277716677854
844,ice,844,-7.40277716677854
845,closeup,845,-7.405219170434091
846,floors,846,-7.407667152072731
847,skating,847,-7.407667152072731
848,party,848,-7.41258116687516
849,before,849,-7.415047259370354
850,desert,850,-7.417519448515742
851,steps,851,-7.427469779368911
852,arms,852,-7.432482321192456
853,friends,853,-7.434998045789703
854,eggs,854,-7.434998045789703
855,doors,855,-7.437520115222412
856,race,856,-7.440048561575772
857,cakes,857,-7.440048561575772
858,trailer,858,-7.442583417178959
859,construction,859,-7.445124714607632
860,kneeling,860,-7.445124714607632
